id,cast,crew
552688,"[{'cast_id': 16866, 'name': 'Jennifer Lopez', 'character': 'Mother'}, {'cast_id': 12763, 'name': 'Joseph Fiennes', 'character': 'Adrian'}, {'cast_id': 41556, 'name': 'Omari Hardwick', 'character': 'Cruise'}, {'cast_id': 258, 'name': 'Gael García Bernal', 'character': 'Hector'}, {'cast_id': 1216195, 'name': 'Paul Raci', 'character': 'Jons'}]","[{'crew_id': 15287, 'name': 'Niki Caro', 'department': 'Directing', 'job': 'Director'}]"
620705,"[{'cast_id': 2392706, 'name': 'Isaiah Russell-Bailey', 'character': 'Caleb Channing'}, {'cast_id': 1172108, 'name': 'Mckenna Grace', 'character': 'Addison'}, {'cast_id': 1840063, 'name': 'Billy Barratt', 'character': 'Dylan'}, {'cast_id': 2479437, 'name': 'Orson Hong', 'character': 'Borney'}, {'cast_id': 3070203, 'name': 'Thomas Boyce', 'character': 'Marcus'}]","[{'crew_id': 229482, 'name': 'Kyle Patrick Alvarez', 'department': 'Directing', 'job': 'Director'}]"
677179,"[{'cast_id': 135651, 'name': 'Michael B. Jordan', 'character': 'Adonis Creed'}, {'cast_id': 62561, 'name': 'Tessa Thompson', 'character': 'Bianca Taylor'}, {'cast_id': 1674162, 'name': 'Jonathan Majors', 'character': ""Damian 'Dame' Anderson""}, {'cast_id': 119598, 'name': 'Phylicia Rashād', 'character': 'Mary-Anne Creed'}, {'cast_id': 3759632, 'name': 'Mila Davis-Kent', 'character': 'Amara Creed'}]","[{'crew_id': 135651, 'name': 'Michael B. Jordan', 'department': 'Directing', 'job': 'Director'}]"
882569,"[{'cast_id': 131, 'name': 'Jake Gyllenhaal', 'character': 'Sgt. John Kinley'}, {'cast_id': 234907, 'name': 'Dar Salim', 'character': 'Ahmed'}, {'cast_id': 60373, 'name': 'Antony Starr', 'character': 'Eddie Parker'}, {'cast_id': 23498, 'name': 'Alexander Ludwig', 'character': ""Sgt. Declan O'Brady""}, {'cast_id': 9012, 'name': 'Jonny Lee Miller', 'character': 'Colonel Vokes'}]","[{'crew_id': 956, 'name': 'Guy Ritchie', 'department': 'Directing', 'job': 'Director'}]"
868759,"[{'cast_id': 16828, 'name': 'Chris Evans', 'character': 'Cole Turner'}, {'cast_id': 224513, 'name': 'Ana de Armas', 'character': 'Sadie Rhodes'}, {'cast_id': 3490, 'name': 'Adrien Brody', 'character': 'Leveque'}, {'cast_id': 1324443, 'name': 'Mike Moh', 'character': 'Wagner'}, {'cast_id': 12110, 'name': 'Amy Sedaris', 'character': 'Mom'}]","[{'crew_id': 974, 'name': 'Dexter Fletcher', 'department': 'Directing', 'job': 'Director'}]"
315162,"[{'cast_id': 3131, 'name': 'Antonio Banderas', 'character': 'Puss in Boots (voice)'}, {'cast_id': 3136, 'name': 'Salma Hayek', 'character': 'Kitty Softpaws (voice)'}, {'cast_id': 210172, 'name': 'Harvey Guillén', 'character': 'Perrito (voice)'}, {'cast_id': 52583, 'name': 'Wagner Moura', 'character': 'Wolf (voice)'}, {'cast_id': 1373737, 'name': 'Florence Pugh', 'character': 'Goldilocks (voice)'}]","[{'crew_id': 1450348, 'name': 'Joel Crawford', 'department': 'Directing', 'job': 'Director'}]"
1105803,"[{'cast_id': 212646, 'name': 'Ben Milliken', 'character': 'Snag'}, {'cast_id': 545087, 'name': 'Jaime Camil', 'character': 'Marco'}, {'cast_id': 1552148, 'name': 'Jonny Beauchamp', 'character': 'Javi'}, {'cast_id': 22821, 'name': 'David Zayas', 'character': 'Ramon'}, {'cast_id': 3983309, 'name': 'Sofía Castro', 'character': 'Valentina'}]","[{'crew_id': 212646, 'name': 'Ben Milliken', 'department': 'Directing', 'job': 'Director'}]"
420808,"[{'cast_id': 2562617, 'name': 'Alexander Molony', 'character': 'Peter Pan'}, {'cast_id': 1743933, 'name': 'Ever Anderson', 'character': 'Wendy Darling'}, {'cast_id': 9642, 'name': 'Jude Law', 'character': 'Captain Hook'}, {'cast_id': 2818304, 'name': 'Alyssa Wapanatâhk', 'character': 'Tiger Lily'}, {'cast_id': 84407, 'name': 'Jim Gaffigan', 'character': 'Mr. Smee'}]","[{'crew_id': 592493, 'name': 'David Lowery', 'department': 'Directing', 'job': 'Director'}]"
1094319,"[{'cast_id': 72440, 'name': 'Brendan Fehr', 'character': 'Bradley'}, {'cast_id': 16644, 'name': 'Dolph Lundgren', 'character': 'Anders'}, {'cast_id': 36422, 'name': 'Luke Wilson', 'character': 'Cal'}, {'cast_id': 212833, 'name': 'Nicky Whelan', 'character': 'Brook'}, {'cast_id': 21318, 'name': 'Scout Taylor-Compton', 'character': 'Hailey'}]","[{'crew_id': 59502, 'name': 'Shane Dax Taylor', 'department': 'Directing', 'job': 'Director'}]"
934433,"[{'cast_id': 1373659, 'name': 'Melissa Barrera', 'character': 'Sam Carpenter'}, {'cast_id': 974169, 'name': 'Jenna Ortega', 'character': 'Tara Carpenter'}, {'cast_id': 1508653, 'name': 'Jasmin Savoy Brown', 'character': 'Mindy Meeks-Martin'}, {'cast_id': 2174509, 'name': 'Mason Gooding', 'character': 'Chad Meeks-Martin'}, {'cast_id': 51957, 'name': 'Roger Jackson', 'character': '""The Voice"" (voice)'}]","[{'crew_id': 66681, 'name': 'Matt Bettinelli-Olpin', 'department': 'Directing', 'job': 'Director'}, {'crew_id': 1039527, 'name': 'Tyler Gillett', 'department': 'Directing', 'job': 'Director'}]"
