id,cast,crew
424,"[{'cast_id': 3896, 'name': 'Liam Neeson', 'character': 'Oskar Schindler'}, {'cast_id': 2282, 'name': 'Ben Kingsley', 'character': 'Itzhak Stern'}, {'cast_id': 5469, 'name': 'Ralph Fiennes', 'character': 'Amon Goeth'}, {'cast_id': 6692, 'name': 'Caroline Goodall', 'character': 'Emilie Schindler'}, {'cast_id': 6693, 'name': 'Jonathan Sagall', 'character': 'Poldek Pfefferberg'}]","[{'crew_id': 488, 'name': 'Steven Spielberg', 'department': 'Directing', 'job': 'Director'}]"
373558,"[{'cast_id': 212208, 'name': 'Taylor Swift', 'character': 'Self'}, {'cast_id': 1428, 'name': 'Mick Jagger', 'character': 'Self'}, {'cast_id': 1025375, 'name': 'Wiz Khalifa', 'character': 'Self'}, {'cast_id': 2422718, 'name': 'Ally Brooke', 'character': 'Self'}, {'cast_id': 1911673, 'name': 'Camila Cabello', 'character': 'Self'}]","[{'crew_id': 71329, 'name': 'Jonas Åkerlund', 'department': 'Directing', 'job': 'Director'}]"
13,"[{'cast_id': 31, 'name': 'Tom Hanks', 'character': 'Forrest Gump'}, {'cast_id': 32, 'name': 'Robin Wright', 'character': 'Jenny Curran'}, {'cast_id': 33, 'name': 'Gary Sinise', 'character': 'Lieutenant Dan Taylor'}, {'cast_id': 35, 'name': 'Sally Field', 'character': 'Mrs. Gump'}, {'cast_id': 34, 'name': 'Mykelti Williamson', 'character': ""Benjamin Buford 'Bubba' Blue""}]","[{'crew_id': 24, 'name': 'Robert Zemeckis', 'department': 'Directing', 'job': 'Director'}]"
155,"[{'cast_id': 3894, 'name': 'Christian Bale', 'character': 'Bruce Wayne / Batman'}, {'cast_id': 1810, 'name': 'Heath Ledger', 'character': 'Joker'}, {'cast_id': 3895, 'name': 'Michael Caine', 'character': 'Alfred Pennyworth'}, {'cast_id': 64, 'name': 'Gary Oldman', 'character': 'James Gordon'}, {'cast_id': 6383, 'name': 'Aaron Eckhart', 'character': 'Harvey Dent / Two-Face'}]","[{'crew_id': 525, 'name': 'Christopher Nolan', 'department': 'Directing', 'job': 'Director'}]"
696374,"[{'cast_id': 1312450, 'name': 'Melanie Zanetti', 'character': 'Julianne Mitchell'}, {'cast_id': 544002, 'name': 'Giulio Berruti', 'character': 'Gabriel Emerson'}, {'cast_id': 73659, 'name': 'Kurt McKinney', 'character': 'Tom Mitchell'}, {'cast_id': 1188681, 'name': 'Agnes Albright', 'character': ''}, {'cast_id': 2595115, 'name': 'Margaux Brooke', 'character': ''}]","[{'crew_id': 935563, 'name': 'Tosca Musk', 'department': 'Directing', 'job': 'Director'}]"
1058671,"[{'cast_id': 2626441, 'name': 'Rachel de Leon', 'character': 'Self'}, {'cast_id': 2079878, 'name': 'Amanda Pike', 'character': 'Self'}, {'cast_id': 4081170, 'name': 'Lisa Avalos', 'character': 'Self'}, {'cast_id': 4081171, 'name': 'Dyanie Bermeo', 'character': 'Self'}, {'cast_id': 4081172, 'name': 'Carlton Hershman', 'character': 'Self'}]","[{'crew_id': 1992444, 'name': 'Nancy Schwartzman', 'department': 'Directing', 'job': 'Director'}]"
389,"[{'cast_id': 1936, 'name': 'Martin Balsam', 'character': 'Juror 1'}, {'cast_id': 5247, 'name': 'John Fiedler', 'character': 'Juror 2'}, {'cast_id': 5248, 'name': 'Lee J. Cobb', 'character': 'Juror 3'}, {'cast_id': 5249, 'name': 'E.G. Marshall', 'character': 'Juror 4'}, {'cast_id': 5250, 'name': 'Jack Klugman', 'character': 'Juror 5'}]","[{'crew_id': 39996, 'name': 'Sidney Lumet', 'department': 'Directing', 'job': 'Director'}]"
76115,"[{'cast_id': 145115, 'name': 'Ramin Karimloo', 'character': 'The Phantom'}, {'cast_id': 577640, 'name': 'Sierra Boggess', 'character': 'Christine Daae'}, {'cast_id': 231674, 'name': 'Hadley Fraser', 'character': 'Raoul, Vicomte de Chagny'}, {'cast_id': 516105, 'name': 'Liz Robertson', 'character': 'Madame Giry'}, {'cast_id': 206726, 'name': 'Nick Holder', 'character': 'Joseph Buquet'}]","[{'crew_id': 554281, 'name': 'Nick Morris', 'department': 'Directing', 'job': 'Director'}, {'crew_id': 1122354, 'name': 'Laurence Connor', 'department': 'Directing', 'job': 'Director'}]"
995133,"[{'cast_id': 3024068, 'name': 'Jude Coward Nicoll', 'character': 'The Boy (voice)'}, {'cast_id': 2441, 'name': 'Tom Hollander', 'character': 'The Mole (voice)'}, {'cast_id': 17605, 'name': 'Idris Elba', 'character': 'The Fox (voice)'}, {'cast_id': 5168, 'name': 'Gabriel Byrne', 'character': 'The Horse (voice)'}]","[{'crew_id': 3735212, 'name': 'Peter Baynton', 'department': 'Directing', 'job': 'Director'}, {'crew_id': 3735213, 'name': 'Charlie Mackesy', 'department': 'Directing', 'job': 'Director'}]"
704264,"[{'cast_id': 1281304, 'name': 'Aaron LaPlante', 'character': 'Spear / Big Gorilla / Monkey #3 (voice)'}, {'cast_id': 1836598, 'name': 'Jon Olson', 'character': 'Krog / Shaman (voice)'}, {'cast_id': 1218986, 'name': 'Bryan Andrews', 'character': ''}, {'cast_id': 60300, 'name': 'Darrick Bachman', 'character': ''}]","[{'crew_id': 185438, 'name': 'Genndy Tartakovsky', 'department': 'Directing', 'job': 'Director'}]"
