id,title,overview,genres,keywords
597,Titanic,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","[{'id': 793, 'name': 'drowning'}, {'id': 2227, 'name': 'evacuation'}, {'id': 2580, 'name': 'shipwreck'}, {'id': 2984, 'name': 'iceberg'}, {'id': 3691, 'name': 'forbidden love'}, {'id': 3799, 'name': 'ship'}, {'id': 4210, 'name': 'panic'}, {'id': 4388, 'name': 'titanic'}, {'id': 4953, 'name': 'ocean liner'}, {'id': 6917, 'name': 'epic'}, {'id': 7579, 'name': 'rich woman poor man'}, {'id': 9672, 'name': 'based on true story'}, {'id': 9673, 'name': 'love'}, {'id': 10614, 'name': 'tragedy'}, {'id': 10617, 'name': 'disaster'}, {'id': 10703, 'name': 'tragic love'}, {'id': 12995, 'name': 'historical fiction'}, {'id': 14514, 'name': 'class differences'}, {'id': 14720, 'name': 'love affair'}, {'id': 159289, 'name': 'historical event'}, {'id': 163000, 'name': 'lifeboat'}, {'id': 165086, 'name': 'star crossed lovers'}, {'id': 180100, 'name': 'sinking ship'}, {'id': 182615, 'name': 'steerage'}, {'id': 182625, 'name': 'rich snob'}, {'id': 189411, 'name': 'disaster movie'}, {'id': 210184, 'name': '1910s'}, {'id': 214762, 'name': 'sunken ship'}]"
198663,The Maze Runner,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.","[{'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","[{'id': 818, 'name': 'based on novel or book'}, {'id': 2158, 'name': 'maze'}, {'id': 4458, 'name': 'post-apocalyptic future'}, {'id': 4565, 'name': 'dystopia'}, {'id': 10685, 'name': 'escape'}, {'id': 11469, 'name': 'memory loss'}, {'id': 15261, 'name': 'erased memory'}, {'id': 18029, 'name': 'trapped'}, {'id': 204967, 'name': 'runner'}, {'id': 246466, 'name': 'based on young adult novel'}]"
7445,Brothers,"When his helicopter goes down during his fourth tour of duty in Afghanistan, Marine Sam Cahill is presumed dead. Back home, brother Tommy steps in to look over Sam’s wife, Grace, and two children. Sam’s surprise homecoming triggers domestic mayhem.","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]","[{'id': 380, 'name': 'sibling relationship'}, {'id': 697, 'name': 'loss of loved one'}, {'id': 2102, 'name': 'brother-in-law'}, {'id': 7158, 'name': 'afghanistan war (2001- )'}, {'id': 9714, 'name': 'remake'}, {'id': 164181, 'name': 'sister-in-law'}]"
842942,Bandit,"After escaping a Michigan prison, a charming career criminal assumes a new identity in Canada and goes on to rob a record 59 banks and jewellery stores while being hunted by a rogue task force. Based on the story of The Flying Bandit.","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","[{'id': 703, 'name': 'detective'}, {'id': 1329, 'name': 'canada'}, {'id': 2492, 'name': 'bank robber'}, {'id': 3688, 'name': 'strip club'}, {'id': 3725, 'name': 'pregnancy'}, {'id': 9672, 'name': 'based on true story'}, {'id': 18118, 'name': 'disguise'}, {'id': 155508, 'name': 'jewel heist'}, {'id': 160223, 'name': 'vancouver'}, {'id': 169271, 'name': 'escaped prisoner'}, {'id': 230970, 'name': 'ottawa, canada'}, {'id': 278314, 'name': 'prison escapee'}, {'id': 297821, 'name': 'childbirth'}, {'id': 315041, 'name': 'pembroke, canada'}, {'id': 315045, 'name': 'london, canada'}]"
84892,The Perks of Being a Wallflower,"Pittsburgh, Pennsylvania, 1991. High school freshman Charlie is a wallflower, always watching life from the sidelines, until two senior students, Sam and her stepbrother Patrick, become his mentors, helping him discover the joys of friendship, music and love.","[{'id': 18, 'name': 'Drama'}]","[{'id': 818, 'name': 'based on novel or book'}, {'id': 2754, 'name': 'trauma'}, {'id': 2921, 'name': 'school friend'}, {'id': 6054, 'name': 'friendship'}, {'id': 6270, 'name': 'high school'}, {'id': 10519, 'name': 'freshman'}, {'id': 10683, 'name': 'coming of age'}, {'id': 10873, 'name': 'school'}, {'id': 18068, 'name': 'teenage boy'}, {'id': 33910, 'name': 'high school student'}, {'id': 157303, 'name': 'first love'}, {'id': 158199, 'name': 'aunt nephew relationship'}, {'id': 158718, 'name': 'lgbt'}, {'id': 159315, 'name': 'mental health'}, {'id': 163037, 'name': 'lgbt teen'}, {'id': 193594, 'name': 'pittsburgh, pennsylvania'}, {'id': 210608, 'name': '1990s'}, {'id': 246466, 'name': 'based on young adult novel'}, {'id': 276142, 'name': 'gay character'}, {'id': 296608, 'name': 'teenager'}]"
315635,Spider-Man: Homecoming,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]","[{'id': 242, 'name': 'new york city'}, {'id': 521, 'name': 'washington dc, usa'}, {'id': 6270, 'name': 'high school'}, {'id': 9715, 'name': 'superhero'}, {'id': 9717, 'name': 'based on comic'}, {'id': 161184, 'name': 'reboot'}, {'id': 180547, 'name': 'marvel cinematic universe (mcu)'}]"
585,"Monsters, Inc.","James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.","[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","[{'id': 1299, 'name': 'monster'}, {'id': 1332, 'name': 'cheating'}, {'id': 1930, 'name': 'kidnapping'}, {'id': 3256, 'name': 'infant'}, {'id': 3289, 'name': 'villain'}, {'id': 4210, 'name': 'panic'}, {'id': 6107, 'name': 'energy supply'}, {'id': 7939, 'name': 'portal'}, {'id': 9713, 'name': 'friends'}, {'id': 9823, 'name': 'rivalry'}, {'id': 12011, 'name': 'hijinks'}, {'id': 12392, 'name': 'best friend'}, {'id': 14569, 'name': 'chameleon'}, {'id': 18035, 'name': 'family'}, {'id': 33465, 'name': 'parallel world'}, {'id': 167106, 'name': 'conveyor belt'}, {'id': 189115, 'name': 'invisibility'}, {'id': 204006, 'name': 'energy company'}, {'id': 236560, 'name': 'conspirators'}]"
1047431,Prancer: A Christmas Tale,"Ten-year-old Gloria and her recently widowed grandfather Bud befriend a mysterious reindeer when the family gather for Christmas. Bud comes to believe that Prancer may actually be magical, but Gloria fears his theory will send him straight to a retirement home.","[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",[]
353440,Killing Hasselhoff,"A man in a high stakes celebrity death pool quickly loses everything - his business, his bank account, his home, his fiancé. He snaps, then realizes the only way to get his life back on track. He'll have to murder his own celebrity. He'll have to kill Hasselhoff.","[{'id': 35, 'name': 'Comedy'}]","[{'id': 6562, 'name': 'celebrity'}, {'id': 34079, 'name': 'death'}, {'id': 216918, 'name': 'stakes'}]"
2062,Ratatouille,"Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.","[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]","[{'id': 90, 'name': 'paris, france'}, {'id': 380, 'name': 'sibling relationship'}, {'id': 996, 'name': 'expensive restaurant'}, {'id': 1261, 'name': 'river'}, {'id': 2161, 'name': 'mouse'}, {'id': 2227, 'name': 'evacuation'}, {'id': 2246, 'name': 'confidence'}, {'id': 2982, 'name': ""leaving one's family""}, {'id': 3640, 'name': 'work'}, {'id': 3910, 'name': 'restaurant critic'}, {'id': 6074, 'name': 'spice'}, {'id': 6808, 'name': 'cookbook'}, {'id': 10637, 'name': 'food'}, {'id': 18293, 'name': 'chef'}, {'id': 41412, 'name': 'sewer'}, {'id': 167982, 'name': 'unlikely friendship'}, {'id': 189359, 'name': 'rat'}, {'id': 217930, 'name': 'french cuisine'}]"
335983,Venom,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.","[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]","[{'id': 582, 'name': 'san francisco, california'}, {'id': 1612, 'name': 'spacecraft'}, {'id': 2095, 'name': 'anti hero'}, {'id': 4862, 'name': 'alien life-form'}, {'id': 9715, 'name': 'superhero'}, {'id': 9717, 'name': 'based on comic'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 191297, 'name': 'business tycoon'}, {'id': 193132, 'name': 'symbiote'}, {'id': 244157, 'name': 'genetic experiment'}]"
338953,Fantastic Beasts: The Secrets of Dumbledore,"Professor Albus Dumbledore knows the powerful, dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone, he entrusts magizoologist Newt Scamander to lead an intrepid team of wizards and witches. They soon encounter an array of old and new beasts as they clash with Grindelwald's growing legion of followers.","[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]","[{'id': 220, 'name': 'berlin, germany'}, {'id': 378, 'name': 'prison'}, {'id': 616, 'name': 'witch'}, {'id': 2343, 'name': 'magic'}, {'id': 6085, 'name': 'election campaign'}, {'id': 10541, 'name': 'curse'}, {'id': 33499, 'name': 'bhutan'}, {'id': 170362, 'name': 'fantasy world'}, {'id': 177912, 'name': 'wizard'}, {'id': 195269, 'name': 'magical creature'}, {'id': 214548, 'name': '1930s'}, {'id': 269233, 'name': 'good versus evil'}]"
1865,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]","[{'id': 392, 'name': 'england'}, {'id': 514, 'name': 'spain'}, {'id': 658, 'name': 'sea'}, {'id': 1316, 'name': 'captain'}, {'id': 1860, 'name': 'mutiny'}, {'id': 1938, 'name': 'sword'}, {'id': 2569, 'name': 'prime minister'}, {'id': 3180, 'name': 'sailing'}, {'id': 3625, 'name': 'silver'}, {'id': 3799, 'name': 'ship'}, {'id': 4235, 'name': 'duke'}, {'id': 5938, 'name': 'mermaid'}, {'id': 12988, 'name': 'pirate'}, {'id': 13065, 'name': 'soldier'}, {'id': 14643, 'name': 'battle'}, {'id': 157186, 'name': 'swashbuckler'}, {'id': 160279, 'name': '18th century'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 249261, 'name': 'blackbeard'}, {'id': 270337, 'name': '1750s'}]"
836225,The Exorcism of God,"An American priest working in Mexico is considered a saint by many local parishioners. However, due to a botched exorcism, he carries a secret that’s eating him alive until he gets an opportunity to face his demon one final time.","[{'id': 27, 'name': 'Horror'}]","[{'id': 378, 'name': 'prison'}, {'id': 534, 'name': 'mexico'}, {'id': 1415, 'name': 'small town'}, {'id': 2626, 'name': 'exorcism'}, {'id': 9712, 'name': 'possession'}, {'id': 10375, 'name': 'possessed'}, {'id': 159940, 'name': 'exorcist'}]"
